epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2647,1.91254,3.53909,2.94222,0.22389,0.07503,0.22013,0.06237,0.02895,1.59924,3.29458,2.74643,0.24616,7.5e-05,7.5e-05,7.5e-05
2,65.7866,1.65949,2.94622,2.59894,0.22096,0.50509,0.46099,0.53544,0.28971,1.53019,2.30313,2.49888,0.21048,0.000156065,0.000156065,0.000156065
3,99.2863,1.64046,2.25071,2.23956,0.22626,0.68236,0.67126,0.72764,0.43858,1.35993,1.85533,2.25208,0.18369,0.0002302,0.0002302,0.0002302
4,132.033,1.48191,1.88707,2.01806,0.18361,0.7846,0.7403,0.7976,0.48769,1.29906,1.73561,2.15934,0.17066,0.000297405,0.000297405,0.000297405
5,164.776,1.39394,1.67637,1.94015,0.18751,0.85887,0.84917,0.93689,0.61333,1.17994,1.40112,2.03979,0.17471,0.00035768,0.00035768,0.00035768
6,196.332,1.29768,1.50509,1.87793,0.17788,0.84218,0.86997,0.92845,0.59639,1.1713,1.40854,2.03769,0.16074,0.000411025,0.000411025,0.000411025
7,229.371,1.26868,1.29117,1.83494,0.17616,0.91825,0.91261,0.95403,0.62838,1.08522,1.21452,1.98361,0.15377,0.00045744,0.00045744,0.00045744
8,260.919,1.25279,1.20236,1.84147,0.17011,0.9591,0.9176,0.96352,0.6649,1.05392,1.06655,1.96629,0.14463,0.000496925,0.000496925,0.000496925
9,292.609,1.17461,1.10315,1.82711,0.16638,0.93858,0.94003,0.96388,0.65889,1.03527,1.07272,1.89921,0.1405,0.00052948,0.00052948,0.00052948
10,324.039,1.24701,1.09838,1.85055,0.17722,0.97536,0.93388,0.9717,0.69389,0.98777,0.95684,1.7793,0.13681,0.000555105,0.000555105,0.000555105
11,355.828,1.17914,1.02557,1.75171,0.14753,0.96797,0.94948,0.97389,0.71692,0.95139,0.88644,1.75761,0.14047,0.0005738,0.0005738,0.0005738
12,387.598,1.09651,0.98206,1.65197,0.15106,0.96272,0.94933,0.97314,0.72192,0.95984,0.87353,1.72469,0.13851,0.000585565,0.000585565,0.000585565
13,419.147,1.12619,0.9421,1.69376,0.1477,0.96225,0.93952,0.97521,0.71984,0.97385,0.87003,1.68416,0.14456,0.0005904,0.0005904,0.0005904
14,450.92,1.06399,0.89665,1.58494,0.14864,0.94854,0.93041,0.97937,0.72717,0.93451,0.85489,1.65184,0.12884,0.000588305,0.000588305,0.000588305
15,482.527,1.06042,0.88325,1.60691,0.14435,0.96038,0.94333,0.98288,0.7577,0.86254,0.76892,1.61451,0.11118,0.000557,0.000557,0.000557
16,513.912,0.98304,0.87847,1.6575,0.12914,0.96319,0.96284,0.98421,0.75079,0.88415,0.78227,1.59725,0.11015,0.0005075,0.0005075,0.0005075
17,545.754,0.97263,0.8652,1.60754,0.12168,0.96969,0.95774,0.98155,0.75564,0.86042,0.79975,1.58447,0.1042,0.000458,0.000458,0.000458
18,577.677,0.89278,0.82025,1.49584,0.12149,0.97706,0.95743,0.9819,0.78232,0.81045,0.73988,1.57296,0.09098,0.0004085,0.0004085,0.0004085
19,609.62,0.87449,0.77467,1.57058,0.12168,0.97798,0.96702,0.98472,0.78784,0.80366,0.70009,1.55518,0.08844,0.000359,0.000359,0.000359
20,641.38,0.95197,0.78453,1.59246,0.13703,0.98341,0.96952,0.98586,0.79879,0.78658,0.69675,1.53048,0.08947,0.0003095,0.0003095,0.0003095
21,673.369,0.88188,0.77346,1.49271,0.10961,0.98521,0.97091,0.98362,0.80086,0.77306,0.69988,1.52899,0.09172,0.00026,0.00026,0.00026
22,705.459,0.86925,0.76062,1.47551,0.1229,0.98802,0.97129,0.98721,0.80875,0.75042,0.67852,1.53123,0.09439,0.0002105,0.0002105,0.0002105
23,737.156,0.84151,0.75124,1.50695,0.10312,0.9838,0.97254,0.98772,0.81208,0.73967,0.66509,1.52401,0.09419,0.000161,0.000161,0.000161
24,768.826,0.83315,0.73929,1.46348,0.10638,0.9839,0.97298,0.98818,0.8139,0.73415,0.6561,1.51587,0.09045,0.0001115,0.0001115,0.0001115
25,801.177,0.79742,0.71,1.44912,0.09256,0.98405,0.97296,0.98833,0.8145,0.7331,0.65304,1.51231,0.08944,6.2e-05,6.2e-05,6.2e-05
